descriptor,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
modlamp_global_Length,0.0444087576531399,-0.12565025563599558,0.0444087576531399,0.12565025563599558
modlamp_global_MW,0.04679264017791006,-0.12304179072487254,0.04679264017791006,0.12304179072487254
modlamp_global_Charge,-0.04827118786523721,0.05443421740176228,0.04827118786523721,0.05443421740176228
modlamp_global_ChargeDensity,-0.045846493640630336,0.06209858548534962,0.045846493640630336,0.06209858548534962
modlamp_global_pI,-0.05160665389305882,0.026865882704747355,0.05160665389305882,0.026865882704747355
modlamp_global_InstabilityInd,0.14559146187925784,-0.23100518008133822,0.14559146187925784,0.23100518008133822
modlamp_global_Aromaticity,-0.14092079433085594,0.21272165112782726,0.14092079433085594,0.21272165112782726
modlamp_global_AliphaticInd,-0.20206328501663173,0.2729199504501753,0.20206328501663173,0.2729199504501753
modlamp_global_BomanInd,0.3021842930926079,-0.22151482855965027,0.3021842930926079,0.22151482855965027
modlamp_global_HydrophRatio,-0.2505911438630826,0.2854741301728192,0.2505911438630826,0.2854741301728192
modlamp_scale_eisenberg_global,-0.297072485197074,0.2159950565894287,0.297072485197074,0.2159950565894287
modlamp_scale_kytedoolittle_global,-0.2851803192105242,0.2501001096525888,0.2851803192105242,0.2501001096525888
modlamp_scale_hoppwoods_global,0.28749343069453676,-0.23610555945771297,0.28749343069453676,0.23610555945771297
modlamp_moment_eisenberg,0.08947398954552428,-0.03413521477548654,0.08947398954552428,0.03413521477548654
modlamp_moment_kytedoolittle,0.06910836934479653,-0.02597259953945114,0.06910836934479653,0.02597259953945114
modlamp_profile_eisenberg_profile_mean,0.2847006429752195,0.2426742524535437,0.2847006429752195,0.2426742524535437
modlamp_profile_eisenberg_profile_std,0.2853881803183709,0.24376933292653444,0.2853881803183709,0.24376933292653444
modlamp_profile_eisenberg_profile_min,-0.20908288703844516,-0.19714871433628842,0.20908288703844516,0.19714871433628842
modlamp_profile_eisenberg_profile_max,0.2850627424588643,0.24323965649379972,0.2850627424588643,0.24323965649379972
modlamp_profile_kytedoolittle_profile_mean,0.25353094722232333,0.2939328529292259,0.25353094722232333,0.2939328529292259
modlamp_profile_kytedoolittle_profile_std,0.2523340644847832,0.29426664587308465,0.2523340644847832,0.29426664587308465
modlamp_profile_kytedoolittle_profile_min,-0.09058172607527366,-0.12275056174920185,0.09058172607527366,0.12275056174920185
modlamp_profile_kytedoolittle_profile_max,0.25317978061281354,0.29440462649295895,0.25317978061281354,0.29440462649295895
